v8-version,7,1,302,31,0
code-creation,Builtin,3,5000,0x7ff6df5a9b00,12,BigIntConstructor
code-creation,Builtin,3,5000,0x7ff6df5a9b20,12,BigIntAsUintN
code-creation,Builtin,3,5000,0x7ff6df5a9b40,12,BigIntAsIntN
code-creation,Builtin,3,5000,0x7ff6df5a9b60,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,5000,0x7ff6df5a9b80,12,BigIntPrototypeToString
code-creation,Builtin,3,5000,0x7ff6df5a9ba0,12,BigIntPrototypeValueOf
code-creation,Builtin,3,5000,0x7ff6df5a9bc0,12,BooleanConstructor
code-creation,Builtin,3,5000,0x7ff6df5a9be0,190,BooleanPrototypeToString
code-creation,Builtin,3,5000,0x7ff6df5a9ca0,186,BooleanPrototypeValueOf
code-creation,Builtin,3,5000,0x7ff6df5a9d60,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,5000,0x7ff6df5a9d80,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,5000,0x7ff6df5a9da0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,5000,0x7ff6df5a9dc0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,5000,0x7ff6df5a9de0,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,5000,0x7ff6df5a9e00,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,5000,0x7ff6df5a9e20,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,5000,0x7ff6df5a9e40,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,5000,0x7ff6df5a9e60,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,5000,0x7ff6df5a9e80,12,CallSitePrototypeGetThis
code-creation,Builtin,3,5000,0x7ff6df5a9ea0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,5000,0x7ff6df5a9ec0,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,5000,0x7ff6df5a9ee0,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,5000,0x7ff6df5a9f00,12,CallSitePrototypeIsEval
code-creation,Builtin,3,5000,0x7ff6df5a9f20,12,CallSitePrototypeIsNative
code-creation,Builtin,3,5000,0x7ff6df5a9f40,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,5000,0x7ff6df5a9f60,12,CallSitePrototypeToString
code-creation,Builtin,3,5000,0x7ff6df5a9f80,12,ConsoleDebug
code-creation,Builtin,3,5000,0x7ff6df5a9fa0,12,ConsoleError
code-creation,Builtin,3,5000,0x7ff6df5a9fc0,12,ConsoleInfo
code-creation,Builtin,3,5000,0x7ff6df5a9fe0,12,ConsoleLog
code-creation,Builtin,3,5000,0x7ff6df5aa000,12,ConsoleWarn
code-creation,Builtin,3,5000,0x7ff6df5aa020,12,ConsoleDir
code-creation,Builtin,3,5000,0x7ff6df5aa040,12,ConsoleDirXml
code-creation,Builtin,3,5000,0x7ff6df5aa060,12,ConsoleTable
code-creation,Builtin,3,5000,0x7ff6df5aa080,12,ConsoleTrace
code-creation,Builtin,3,5000,0x7ff6df5aa0a0,12,ConsoleGroup
code-creation,Builtin,3,5000,0x7ff6df5aa0c0,12,ConsoleGroupCollapsed
code-creation,Builtin,3,5000,0x7ff6df5aa0e0,12,ConsoleGroupEnd
code-creation,Builtin,3,5000,0x7ff6df5aa100,12,ConsoleClear
code-creation,Builtin,3,5000,0x7ff6df5aa120,12,ConsoleCount
code-creation,Builtin,3,5000,0x7ff6df5aa140,12,ConsoleCountReset
code-creation,Builtin,3,5000,0x7ff6df5aa160,12,ConsoleAssert
code-creation,Builtin,3,5000,0x7ff6df5aa180,400,FastConsoleAssert
code-creation,Builtin,3,5000,0x7ff6df5aa320,12,ConsoleProfile
code-creation,Builtin,3,5000,0x7ff6df5aa340,12,ConsoleProfileEnd
code-creation,Builtin,3,5000,0x7ff6df5aa360,12,ConsoleTime
code-creation,Builtin,3,5000,0x7ff6df5aa380,12,ConsoleTimeLog
code-creation,Builtin,3,5000,0x7ff6df5aa3a0,12,ConsoleTimeEnd
code-creation,Builtin,3,5000,0x7ff6df5aa3c0,12,ConsoleTimeStamp
code-creation,Builtin,3,6000,0x7ff6df5aa3e0,12,ConsoleContext
code-creation,Builtin,3,6000,0x7ff6df5aa400,12,DataViewConstructor
code-creation,Builtin,3,6000,0x7ff6df5aa420,12,DateConstructor
code-creation,Builtin,3,6000,0x7ff6df5aa440,210,DatePrototypeGetDate
code-creation,Builtin,3,6000,0x7ff6df5aa520,210,DatePrototypeGetDay
code-creation,Builtin,3,6000,0x7ff6df5aa600,210,DatePrototypeGetFullYear
code-creation,Builtin,3,6000,0x7ff6df5aa6e0,210,DatePrototypeGetHours
code-creation,Builtin,3,6000,0x7ff6df5aa7c0,186,DatePrototypeGetMilliseconds
code-creation,Builtin,3,6000,0x7ff6df5aa880,210,DatePrototypeGetMinutes
code-creation,Builtin,3,6000,0x7ff6df5aa960,210,DatePrototypeGetMonth
code-creation,Builtin,3,6000,0x7ff6df5aaa40,210,DatePrototypeGetSeconds
code-creation,Builtin,3,6000,0x7ff6df5aab20,150,DatePrototypeGetTime
code-creation,Builtin,3,6000,0x7ff6df5aabc0,186,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,6000,0x7ff6df5aac80,186,DatePrototypeGetUTCDate
code-creation,Builtin,3,6000,0x7ff6df5aad40,186,DatePrototypeGetUTCDay
code-creation,Builtin,3,6000,0x7ff6df5aae00,186,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,6000,0x7ff6df5aaec0,186,DatePrototypeGetUTCHours
code-creation,Builtin,3,6000,0x7ff6df5aaf80,186,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,6000,0x7ff6df5ab040,186,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,6000,0x7ff6df5ab100,186,DatePrototypeGetUTCMonth
code-creation,Builtin,3,6000,0x7ff6df5ab1c0,186,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,6000,0x7ff6df5ab280,150,DatePrototypeValueOf
code-creation,Builtin,3,6000,0x7ff6df5ab320,480,DatePrototypeToPrimitive
code-creation,Builtin,3,6000,0x7ff6df5ab520,12,DatePrototypeGetYear
code-creation,Builtin,3,6000,0x7ff6df5ab540,12,DatePrototypeSetYear
code-creation,Builtin,3,6000,0x7ff6df5ab560,12,DateNow
code-creation,Builtin,3,6000,0x7ff6df5ab580,12,DateParse
code-creation,Builtin,3,6000,0x7ff6df5ab5a0,12,DatePrototypeSetDate
code-creation,Builtin,3,6000,0x7ff6df5ab5c0,12,DatePrototypeSetFullYear
code-creation,Builtin,3,6000,0x7ff6df5ab5e0,12,DatePrototypeSetHours
code-creation,Builtin,3,6000,0x7ff6df5ab600,12,DatePrototypeSetMilliseconds
code-creation,Builtin,3,6000,0x7ff6df5ab620,12,DatePrototypeSetMinutes
code-creation,Builtin,3,6000,0x7ff6df5ab640,12,DatePrototypeSetMonth
code-creation,Builtin,3,6000,0x7ff6df5ab660,12,DatePrototypeSetSeconds
code-creation,Builtin,3,6000,0x7ff6df5ab680,12,DatePrototypeSetTime
code-creation,Builtin,3,6000,0x7ff6df5ab6a0,12,DatePrototypeSetUTCDate
